name,artist,cover_url,album_url
Bacdafucup,Onyx,https://i.scdn.co/image/ab67616d0000b2731dae2182751db2665015905d,https://open.spotify.com/album/5lUgtggG1KroP0qHkpxQ4K
Spiral,21 Savage,https://i.scdn.co/image/ab67616d0000b2732d1b7b704f62135c84af8900,https://open.spotify.com/album/4jyHGZHlA6AVFYmeAeLNGo
Legendary,Tyga,https://i.scdn.co/image/ab67616d0000b273d38a9c6e4fcfeb128f111f6b,https://open.spotify.com/album/6hHIX3lfGKnZ2ji41YZMVV
He Got Game (Soundtrack),Public Enemy,https://i.scdn.co/image/ab67616d0000b273331c8f13fb4bbf72670f77c7,https://open.spotify.com/album/265OEkRcX40ppxgHGuu4cI
Back In Business,EPMD,https://i.scdn.co/image/ab67616d0000b2730b32162c6f11792784b93ca6,https://open.spotify.com/album/1Qt9lGRPR8IVorUnjscB3u
Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],Internet Money,https://i.scdn.co/image/ab67616d0000b2731052f87538025586b7b33062,https://open.spotify.com/album/7AgDcfBGf9SYACiuIHXPRK
Strictly Business,EPMD,https://i.scdn.co/image/ab67616d0000b27393d12611d0665f9bb15cc79f,https://open.spotify.com/album/2HOl8gDiGGpt7wsIDi9jy5
The Great Adventures Of Slick Rick (Deluxe Edition),Slick Rick,https://i.scdn.co/image/ab67616d0000b273a5234ad1d0dbc9dfc94c5ee5,https://open.spotify.com/album/4TzJROIsnfOkLUWmeOjt2F
Mr. Smith (Deluxe Edition),LL Cool J,https://i.scdn.co/image/ab67616d0000b27318a12da5d84a8f12312698ab,https://open.spotify.com/album/6b7NVGKHlwKyQzFKoVTaMA
Scary Hours 2,Drake,https://i.scdn.co/image/ab67616d0000b2738b20e4631fa15d3953528bbc,https://open.spotify.com/album/5LuoozUhs2pl3glZeAJl89
4 Da Gang (with Roddy Ricch),42 Dugg,https://i.scdn.co/image/ab67616d0000b2736c0d7a083b347a0f51217d50,https://open.spotify.com/album/6NRf3rD5JCAsD3tHBTKZ6P
Scary Hours 2,Drake,https://i.scdn.co/image/ab67616d0000b2738b20e4631fa15d3953528bbc,https://open.spotify.com/album/5LuoozUhs2pl3glZeAJl89
Best Of Montell Jordan,Montell Jordan,https://i.scdn.co/image/ab67616d0000b273430debb283066ac6725483cf,https://open.spotify.com/album/6J9fX2iXc9W7ILQUWvEhAx
Rule #1 (feat. Lil Yachty),DDG,https://i.scdn.co/image/ab67616d0000b273d0e6375edf1bd35f50228f3b,https://open.spotify.com/album/6Nmuh0ibN1OBMJPcv8zsyx
Miss The Rage (feat. Playboi Carti),Trippie Redd,https://i.scdn.co/image/ab67616d0000b273d9b293fd7af470ec2c58e75f,https://open.spotify.com/album/1FsFHXroF1ILBdVyBRMt3A
Errbody,Lil Baby,https://i.scdn.co/image/ab67616d0000b2730091f4b1a4701c452b6d21eb,https://open.spotify.com/album/1AhcXFOhxnWriMEslx0LC2
Laugh Now Cry Later (feat. Lil Durk),Drake,https://i.scdn.co/image/ab67616d0000b27352c75ed37313b889447011ef,https://open.spotify.com/album/0qGdc7fNq9RNIPEzZufa43
Underrated,Lil Eazzyy,https://i.scdn.co/image/ab67616d0000b27332399fb986ec8a7f6d8b01e5,https://open.spotify.com/album/5GnCVEvwaFZPogirSgrrtv
CHOMP,Russ,https://i.scdn.co/image/ab67616d0000b273fc20c5dacda34b8609bcbe78,https://open.spotify.com/album/6hTlfMRAEJBMyETemdH5Qq
Bacdafucup,Onyx,https://i.scdn.co/image/ab67616d0000b2731dae2182751db2665015905d,https://open.spotify.com/album/5lUgtggG1KroP0qHkpxQ4K
In Due Time,Lakeyah,https://i.scdn.co/image/ab67616d0000b273d0d59631f0c11267ab4c5249,https://open.spotify.com/album/3Oond2NSMqKhI5zseoD7Hu
Cabo,Bankrol Hayden,https://i.scdn.co/image/ab67616d0000b273a389174f8f9987c23deba02b,https://open.spotify.com/album/12TkZGM4pKpyK1xb8t5YTc
"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money,https://i.scdn.co/image/ab67616d0000b27343283b8f1e8a22fbfc82f4c4,https://open.spotify.com/album/1arPptaPtDyBisMtMBe2q6
Still Sleep?,Sleepy Hallow,https://i.scdn.co/image/ab67616d0000b27378376f650afd63698b82e4b1,https://open.spotify.com/album/38nZLvJx8A9p4YYpTG5iFP
The Blueprint,JAY-Z,https://i.scdn.co/image/ab67616d0000b2739992c5d2c010ccb3f6fa6bb6,https://open.spotify.com/album/54I5tDCMjnNVWSENHg8EDH
Sweet Union,Cico P,https://i.scdn.co/image/ab67616d0000b27300f94bcfd283dbbda4a33f35,https://open.spotify.com/album/6usg2lbN8Wog65h7EK9Kpb
Back In Blood (feat. Lil Durk),Pooh Shiesty,https://i.scdn.co/image/ab67616d0000b27332c5d1e207364562fe2160b7,https://open.spotify.com/album/1VARhsCn3CIog9r2lz6gq5
CALL ME IF YOU GET LOST,"Tyler, The Creator",https://i.scdn.co/image/ab67616d0000b273696b4e67423edd64784bfbb4,https://open.spotify.com/album/45ba6QAtNrdv6Ke4MFOKk9
No Pressure,Logic,https://i.scdn.co/image/ab67616d0000b2731c76e29153f29cc1e1b2b434,https://open.spotify.com/album/5pF05wJrbrIvqunE41vWP8
Free Dem Boyz,42 Dugg,https://i.scdn.co/image/ab67616d0000b2735cc589330e3596c853863484,https://open.spotify.com/album/4zJiUubJvgUJNq0BVD9Mvs
Masterpiece,DaBaby,https://i.scdn.co/image/ab67616d0000b2737b41da110df7023757e8f8fa,https://open.spotify.com/album/6kaYDcX9dNmJE5OU71IUby
Beam Me Up Scotty,Nicki Minaj,https://i.scdn.co/image/ab67616d0000b2736d8b9f3e7337f6bff76ceff6,https://open.spotify.com/album/2upw5IrzeqKApIQZyx5o6r
Lucky 7,Rich The Kid,https://i.scdn.co/image/ab67616d0000b2737620f0af97ddadd45d15c295,https://open.spotify.com/album/6Dk8225zWYNt429aqGmmPp
Up,Cardi B,https://i.scdn.co/image/ab67616d0000b273d619b8baab0619516bb53804,https://open.spotify.com/album/5BNrcvfbLyADks4RXPW7VP
FOR CERTAIN,BIA,https://i.scdn.co/image/ab67616d0000b273519992354b6dd38590baec10,https://open.spotify.com/album/5B857SgrQIAmcJGj0sFOSg
Destined 2 Win,Lil Tjay,https://i.scdn.co/image/ab67616d0000b2735af0305457ff290e06dcc4c2,https://open.spotify.com/album/3MEKpJ7wSSp6Z661ThjrUJ
Bad Boy (with Young Thug),Juice WRLD,https://i.scdn.co/image/ab67616d0000b2730bda1f6aa92d42f44d621db6,https://open.spotify.com/album/5hUFZjxtqYvxm9FGUhHCdE
DROPPED OUTTA COLLEGE,24kGoldn,https://i.scdn.co/image/ab67616d0000b273fe9008022f3f54d81dcc8030,https://open.spotify.com/album/2eLpj5EDUhyAoTks8sxcKR
"Bundles 2 (feat. Flo Milli, Taylor Girlz)",Kayla Nicole,https://i.scdn.co/image/ab67616d0000b273c674bd6cf8633d61fc95f344,https://open.spotify.com/album/5nsV6k7g6rZVLW3Xhru07O
YS Collection Vol. 1,Logic,https://i.scdn.co/image/ab67616d0000b273496ddd69ddb33853f8ff6fb9,https://open.spotify.com/album/3UTazkAlLS4ZmVbIgJentC
Beam Me Up Scotty,Nicki Minaj,https://i.scdn.co/image/ab67616d0000b2736d8b9f3e7337f6bff76ceff6,https://open.spotify.com/album/2upw5IrzeqKApIQZyx5o6r
The Voice of the Heroes,Lil Baby,https://i.scdn.co/image/ab67616d0000b2739fa79040de02a72663f24323,https://open.spotify.com/album/6CvBb1XqN0igtQrWrbXD80
durag activity (with Travis Scott),Baby Keem,https://i.scdn.co/image/ab67616d0000b27377fd541561004220c4615b7a,https://open.spotify.com/album/2JFAT4IDF89ZMmuxoOKbQ1
Letter to My Daughter,NLE Choppa,https://i.scdn.co/image/ab67616d0000b273336371fae1909d0a9bf35322,https://open.spotify.com/album/33j4jbPhR9yySulNry0Rb8
Don't Condone,Symba,https://i.scdn.co/image/ab67616d0000b273a12513e360eefc30128aabf1,https://open.spotify.com/album/4Bjo5Cl1SoA8gOFghSPiAE
Thot Shit,Megan Thee Stallion,https://i.scdn.co/image/ab67616d0000b273ac1c01aec658e90fcd23f857,https://open.spotify.com/album/7gEGuvkVs79hY4tG7OYnzx
"Bundles 2 (feat. Flo Milli, Taylor Girlz)",Kayla Nicole,https://i.scdn.co/image/ab67616d0000b273c674bd6cf8633d61fc95f344,https://open.spotify.com/album/5nsV6k7g6rZVLW3Xhru07O
Burnout,Domani,https://i.scdn.co/image/ab67616d0000b273dd71b18db04bde9251f09eb5,https://open.spotify.com/album/0FUVWhK7yqhAYVWM66v07g
Kiss Me More (feat. SZA),Doja Cat,https://i.scdn.co/image/ab67616d0000b273908280d9807127e185b71d56,https://open.spotify.com/album/1OnzqJTL9bwe4kvaLxRYxt
At The Top,Coi Leray,https://i.scdn.co/image/ab67616d0000b273697fea162b49598cb2daeb7d,https://open.spotify.com/album/7fQLpnEw13xochCUd776UZ
AP (Music from the film Boogie),Pop Smoke,https://i.scdn.co/image/ab67616d0000b273910d332c82ea0e868127f9a0,https://open.spotify.com/album/2xAPKH0b7vGsyD5xzkPpnI
Capitol 1,EST Gee,https://i.scdn.co/image/ab67616d0000b27362544b5ce5e27f04a91c3506,https://open.spotify.com/album/3YPuCHJ0A9M0Jl7EW0I6N0
Good News,Megan Thee Stallion,https://i.scdn.co/image/ab67616d0000b273da256972582b455d46985ba9,https://open.spotify.com/album/0KjckH1EE6HRRurMIXSc0r
GRIME,Smoove'L,https://i.scdn.co/image/ab67616d0000b27390d3825ee277ef06f96e89b6,https://open.spotify.com/album/6rRu38otc0Dszy78c70X7j
Best Friend (feat. Doja Cat),Saweetie,https://i.scdn.co/image/ab67616d0000b2739aeed9bbffaac4c99cc4c4d9,https://open.spotify.com/album/28Yv9BE6ZI6dccK0sxbEq4
Built For Whatever,Tee Grizzley,https://i.scdn.co/image/ab67616d0000b273b74d1fae052044b1b684e15b,https://open.spotify.com/album/3jsB125uASN4W8nNnT3X2r
Pretty Summer Playlist: Season 1,Saweetie,https://i.scdn.co/image/ab67616d0000b27340fcfc9c0e2e402f35ddf788,https://open.spotify.com/album/2HOYNp9NxRakR9u9na7Wth
I'm Perfect,KenTheMan,https://i.scdn.co/image/ab67616d0000b27396d18f70f3a95a42e8c293a1,https://open.spotify.com/album/1sX0Z1gnMyIYSseLCV4xQX
She Make It Clap,Soulja Boy,https://i.scdn.co/image/ab67616d0000b273984533f3ee5c4fe8ba996ef2,https://open.spotify.com/album/1l5ZuwSAlGfOrHRmoNNoL3
Beam Me Up Scotty,Nicki Minaj,https://i.scdn.co/image/ab67616d0000b2736d8b9f3e7337f6bff76ceff6,https://open.spotify.com/album/2upw5IrzeqKApIQZyx5o6r
Toot That (feat. DreamDoll & BeatKing),Erica Banks,https://i.scdn.co/image/ab67616d0000b273cfba0a792ded774f05869f74,https://open.spotify.com/album/6fK4WIZoxQuboezx5UOxbp
"Ho, why is you here ?",Flo Milli,https://i.scdn.co/image/ab67616d0000b2733ae4c6b039dd0433a53631bb,https://open.spotify.com/album/49FIsErcdC5rfTFhRpPZ7P
Real As It Gets (feat. EST Gee),Lil Baby,https://i.scdn.co/image/ab67616d0000b273f0f6f6144929a1ff72001f5e,https://open.spotify.com/album/0SO86DCFiwaTqchBpujace
SMD,Chinese Kitty,https://i.scdn.co/image/ab67616d0000b2734737028e281503768798523c,https://open.spotify.com/album/2v9QOVsyQI2815eaOk4em6
Options (with Coi Leray & Wale) [Remix],EARTHGANG,https://i.scdn.co/image/ab67616d0000b2730a69cb0e78a277ee88cba16a,https://open.spotify.com/album/3aU4rpw0vnlJF8wqzAlhcI
Eenie Meenie,Yung Baby Tate,https://i.scdn.co/image/ab67616d0000b2734c3a078cdbc0a4ca2825b74f,https://open.spotify.com/album/1RjmHClvXOvgOFXIiqGb4l
WTF,KenTheMan,https://i.scdn.co/image/ab67616d0000b273a1a584f124cbee71f34f9bb1,https://open.spotify.com/album/6yWScSvyI949Zn1Vda6zfI
We Win (Space Jam: A New Legacy),Lil Baby,https://i.scdn.co/image/ab67616d0000b273dde5f2a93bbb53296b0d5cc1,https://open.spotify.com/album/5w1tIaJtvgPEn2mHxiJoVo
Off the Yak,Young M.A,https://i.scdn.co/image/ab67616d0000b273f94fd18ecc02b368adf754be,https://open.spotify.com/album/3jS5p3u5bK0OYq9BQKa6PN
BIG PURR (Prrdd),Coi Leray,https://i.scdn.co/image/ab67616d0000b273c506665606780c4108026c6e,https://open.spotify.com/album/4I7EKdVEB8S9LjRfNoOV0o
Beam Me Up Scotty,Nicki Minaj,https://i.scdn.co/image/ab67616d0000b2736d8b9f3e7337f6bff76ceff6,https://open.spotify.com/album/2upw5IrzeqKApIQZyx5o6r
Moonwalk,cupcakKe,https://i.scdn.co/image/ab67616d0000b273684edb7230b38cc47e8707e4,https://open.spotify.com/album/3PEAIPJoecPobo7M0t2Gej
In Due Time,Lakeyah,https://i.scdn.co/image/ab67616d0000b273d0d59631f0c11267ab4c5249,https://open.spotify.com/album/3Oond2NSMqKhI5zseoD7Hu
After The Rain,Yung Baby Tate,https://i.scdn.co/image/ab67616d0000b27316e46356cc3bbf168b2ca74e,https://open.spotify.com/album/0ne4ND8fxiwMDH8OK0sAn6
Fast (Motion),Saweetie,https://i.scdn.co/image/ab67616d0000b273e8e4135f738a9a0101e91cca,https://open.spotify.com/album/5vIJnjshQfOPk710tNy9HB
Talk,Renni Rucci,https://i.scdn.co/image/ab67616d0000b273af5e861424d1d500928859cd,https://open.spotify.com/album/6SJDmsoNuteasF86EPiZQK
It's Not My Fault,Princess Nokia,https://i.scdn.co/image/ab67616d0000b273e40da06592ce1191a13f46b9,https://open.spotify.com/album/4BIoui4ETt9gynD4XRx8sy
Never Be Me,Snow Tha Product,https://i.scdn.co/image/ab67616d0000b2734abedede6b26a17abc297bcc,https://open.spotify.com/album/6PjjVk5q3261c3fFzv0K9W
"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne,https://i.scdn.co/image/ab67616d0000b273b8ea4b876287cbbb519ac0fc,https://open.spotify.com/album/3ucQ8ogD2Li2U0rwkrdwlx
In Due Time,Lakeyah,https://i.scdn.co/image/ab67616d0000b273d0d59631f0c11267ab4c5249,https://open.spotify.com/album/3Oond2NSMqKhI5zseoD7Hu
Payback,CeeFineAss,https://i.scdn.co/image/ab67616d0000b273545a620205a744962ed53777,https://open.spotify.com/album/19Ul6G6aMlH7EWkDkb70eW
Bluff,Diamond Qing,https://i.scdn.co/image/ab67616d0000b273bec4b89d7fc792421b527598,https://open.spotify.com/album/0y8C5t42h3Ncju8GSdnUTT
No More Parties,Coi Leray,https://i.scdn.co/image/ab67616d0000b27320a2ae654bb13afd7dbc4bbe,https://open.spotify.com/album/5pPKR7VufPAbF18RUYB0eP
PBJ,Tay Money,https://i.scdn.co/image/ab67616d0000b273746b937ddce4b002e7014c64,https://open.spotify.com/album/4moNlzsYAvNxe9oHnWSkWg
Baby Goat,Young Devyn,https://i.scdn.co/image/ab67616d0000b273359dfd9bbfccbd6d60e3abcb,https://open.spotify.com/album/5X1HkCHCIaR5IfWVFPdJ0x
Vol.2 ... Hard Knock Life,JAY-Z,https://i.scdn.co/image/ab67616d0000b2739700390e9c33c62cfcd915ce,https://open.spotify.com/album/3j1xCJdBMCl6wYQXurz2tb
CALL ME IF YOU GET LOST,"Tyler, The Creator",https://i.scdn.co/image/ab67616d0000b273696b4e67423edd64784bfbb4,https://open.spotify.com/album/45ba6QAtNrdv6Ke4MFOKk9
Beat Box 3 (feat. DaBaby),SpotemGottem,https://i.scdn.co/image/ab67616d0000b273637d8f4420da84bb0b50e757,https://open.spotify.com/album/6QqwWNpKYbROin3Gq5pIrV
Man On The Moon III: The Chosen,Kid Cudi,https://i.scdn.co/image/ab67616d0000b2739bf7698a1737bc7c2e4a14f3,https://open.spotify.com/album/64nbgEEIcY4g1ElVLONJ0w
You Know,Funk Flex,https://i.scdn.co/image/ab67616d0000b273cedd0bf4d317b0eff86a6a57,https://open.spotify.com/album/2m365CPlTymuHRiQPqbTE6
Scary Hours 2,Drake,https://i.scdn.co/image/ab67616d0000b2738b20e4631fa15d3953528bbc,https://open.spotify.com/album/5LuoozUhs2pl3glZeAJl89
Killumbus,BigKayBeezy,https://i.scdn.co/image/ab67616d0000b273f37c20e22d6e6a29e419795d,https://open.spotify.com/album/7wb0St2dtvWRFVObf4EP7p
Ball If I Want To,DaBaby,https://i.scdn.co/image/ab67616d0000b2735be44990ee17a572098f902a,https://open.spotify.com/album/6N9oICOUm4QT2YpWdKwUlu
Slime Language 2,Young Stoner Life,https://i.scdn.co/image/ab67616d0000b27332e9cf7de86c1558a4d300c4,https://open.spotify.com/album/3ihwKkIMJWmmp1huNH0iWC
CALL ME IF YOU GET LOST,"Tyler, The Creator",https://i.scdn.co/image/ab67616d0000b273696b4e67423edd64784bfbb4,https://open.spotify.com/album/45ba6QAtNrdv6Ke4MFOKk9
Red Light Green Light,DaBaby,https://i.scdn.co/image/ab67616d0000b27319fc40e920401ce322487abf,https://open.spotify.com/album/2u1Wc12FWm7X2ueUHCHxJC
RAPSTAR,Polo G,https://i.scdn.co/image/ab67616d0000b273175715816616d0fb317fabeb,https://open.spotify.com/album/0SVzFcpsByITKgURaxXdsV
On Me (Remix) (with Megan Thee Stallion),Lil Baby,https://i.scdn.co/image/ab67616d0000b273103207a56a4d80e3a903a619,https://open.spotify.com/album/0Qta1EXfjfRgjE74XYEFta
Drop (feat. DaBaby),Yo Gotti,https://i.scdn.co/image/ab67616d0000b273d9498f649297c98079e123bc,https://open.spotify.com/album/0lziEfJ5vqzrFLev10QnAz
Splash (feat. Moneybagg Yo),Tyga,https://i.scdn.co/image/ab67616d0000b273473c0c209ab5d57796561013,https://open.spotify.com/album/78G2ZuU0lbpOLgrMS4OYbv
Ramen & OJ,Joyner Lucas,https://i.scdn.co/image/ab67616d0000b2734fd8e64469ff9dd01faf50fe,https://open.spotify.com/album/48ahZJLcagb8VTgRAuv6WQ
You A Dime,DJ Chose,https://i.scdn.co/image/ab67616d0000b27303dc9d7c3da1d02a718c24c0,https://open.spotify.com/album/7kv5MIuO2CyXjLQU7Ahl1I
BIG PURR (Prrdd),Coi Leray,https://i.scdn.co/image/ab67616d0000b273c506665606780c4108026c6e,https://open.spotify.com/album/4I7EKdVEB8S9LjRfNoOV0o
Happy Birthday Kodak,Kodak Black,https://i.scdn.co/image/ab67616d0000b2733183ac4bc4f6c6795be9002b,https://open.spotify.com/album/52Buhte2zLFUEdbQFVsxNd
Triple S (Remix) [feat. Coi Leray],YN Jay,https://i.scdn.co/image/ab67616d0000b27393f5cab0af945d0623cdaba7,https://open.spotify.com/album/0OI2L465JNOZRswdO5Dpeq
Beat It Up,Tru Carr,https://i.scdn.co/image/ab67616d0000b27363cbfa0904292f95b984636d,https://open.spotify.com/album/1jDqmEdhCclYr6q2W6v5gm
Baby Boy,Slimelife Shawty,https://i.scdn.co/image/ab67616d0000b273ba0db1837a9f66fdd2b289e1,https://open.spotify.com/album/392OWT5lG0DizGa2ycSU9z
Toot That (feat. DreamDoll & BeatKing),Erica Banks,https://i.scdn.co/image/ab67616d0000b273cfba0a792ded774f05869f74,https://open.spotify.com/album/6fK4WIZoxQuboezx5UOxbp
At The Top,Coi Leray,https://i.scdn.co/image/ab67616d0000b273697fea162b49598cb2daeb7d,https://open.spotify.com/album/7fQLpnEw13xochCUd776UZ
Toot That (feat. DreamDoll & BeatKing),Erica Banks,https://i.scdn.co/image/ab67616d0000b273cfba0a792ded774f05869f74,https://open.spotify.com/album/6fK4WIZoxQuboezx5UOxbp
Destined 2 Win,Lil Tjay,https://i.scdn.co/image/ab67616d0000b2735af0305457ff290e06dcc4c2,https://open.spotify.com/album/3MEKpJ7wSSp6Z661ThjrUJ
Scary Hours 2,Drake,https://i.scdn.co/image/ab67616d0000b2738b20e4631fa15d3953528bbc,https://open.spotify.com/album/5LuoozUhs2pl3glZeAJl89
Baddest,Yung Bleu,https://i.scdn.co/image/ab67616d0000b27354e013fc215e0c5304c1dcdc,https://open.spotify.com/album/3ERp6sI91Flu5Onq9me2pV
Shit Crazy (feat. BIG30),Gucci Mane,https://i.scdn.co/image/ab67616d0000b273a1927a7e1022eba8f6d88733,https://open.spotify.com/album/565iLNRY3CjV3RBQmRB5dc
Beam Me Up Scotty,Nicki Minaj,https://i.scdn.co/image/ab67616d0000b2736d8b9f3e7337f6bff76ceff6,https://open.spotify.com/album/2upw5IrzeqKApIQZyx5o6r
Dem Girlz (with Erica Banks feat. Beatking),Big Jade,https://i.scdn.co/image/ab67616d0000b273cdd479b3090c51706fd253ab,https://open.spotify.com/album/1LEgihPCFBwzC3hzNrgJqG
Tyler Herro,Jack Harlow,https://i.scdn.co/image/ab67616d0000b273d12510170b4c55664e96e9a5,https://open.spotify.com/album/4Vd7lpztpJdmMt9hrLfXWe
El Dorado,24kGoldn,https://i.scdn.co/image/ab67616d0000b27384c53fa832dfa265192419c5,https://open.spotify.com/album/270o30h7cAlEhBnbuSpFZq
Masterpiece,DaBaby,https://i.scdn.co/image/ab67616d0000b2737b41da110df7023757e8f8fa,https://open.spotify.com/album/6kaYDcX9dNmJE5OU71IUby
Hello Baby feat. Fivio Foreign,Young M.A,https://i.scdn.co/image/ab67616d0000b2736fc9887c603061194b0abc17,https://open.spotify.com/album/18JkYWC5jB0R8GuaROnv0R
Beat Box 3 (feat. DaBaby),SpotemGottem,https://i.scdn.co/image/ab67616d0000b273637d8f4420da84bb0b50e757,https://open.spotify.com/album/6QqwWNpKYbROin3Gq5pIrV
Eenie Meenie,Yung Baby Tate,https://i.scdn.co/image/ab67616d0000b2734c3a078cdbc0a4ca2825b74f,https://open.spotify.com/album/1RjmHClvXOvgOFXIiqGb4l
The Voice,Lil Durk,https://i.scdn.co/image/ab67616d0000b273e67a56591cf8bcfcb1450980,https://open.spotify.com/album/12TuxCWI6BzfSXaZMKMrPn
A Gangsta’s Pain,Moneybagg Yo,https://i.scdn.co/image/ab67616d0000b273b9ba23c2a9edf6f4b7e48bed,https://open.spotify.com/album/5ffogo3K3fYibGWa93IzUe
SHOOT MY SHOT,IDK,https://i.scdn.co/image/ab67616d0000b27333567aea8e5dfe07e1417d9e,https://open.spotify.com/album/2ug89z91VcJ8NfpbZGVrPw
Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,https://i.scdn.co/image/ab67616d0000b27346e1307c35579c3483ea7b03,https://open.spotify.com/album/2MDU46hcBn3u94s46BOSdv
Just Until....,Cordae,https://i.scdn.co/image/ab67616d0000b2732361ec64ab57e2ec088beff7,https://open.spotify.com/album/0mRCQ9zhXQTjXusVJfSXoW
TAKE IT,Juicy J,https://i.scdn.co/image/ab67616d0000b273cd3a7074de1cd408d27681bf,https://open.spotify.com/album/3IzUTofrmdo5ei6J81bsNZ
So Much Fun,Young Thug,https://i.scdn.co/image/ab67616d0000b2736fcd1b6e205d0d19d9efa0cc,https://open.spotify.com/album/1bnHPO4dKK7IjvgrtVBcQh
Nah Nah Nah (feat. DaBaby & 2 Chainz) [Remix],Kanye West,https://i.scdn.co/image/ab67616d0000b2734c9f0f8f1fcab0471a4c66c0,https://open.spotify.com/album/0Fpe40q4duP2847fSLr43F
ROLLIN N CONTROLLIN FREESTYLE,DUSTY LOCANE,https://i.scdn.co/image/ab67616d0000b27327431077bb9eefc88c3565eb,https://open.spotify.com/album/752RRPgpiIBjptbb1BqoRI
The Blueprint 2 The Gift & The Curse,JAY-Z,https://i.scdn.co/image/ab67616d0000b273b7c45af95aaf599cee3acf08,https://open.spotify.com/album/5xHStEOG8PsbzNQb7LkxZU
Destined 2 Win,Lil Tjay,https://i.scdn.co/image/ab67616d0000b2735af0305457ff290e06dcc4c2,https://open.spotify.com/album/3MEKpJ7wSSp6Z661ThjrUJ
Trench Baby (Deluxe Edition),Lil Zay Osama,https://i.scdn.co/image/ab67616d0000b27386d05c93bce36a24ec4f3bb7,https://open.spotify.com/album/2dMqj7BHyNyYGz66xbJfY6
In Due Time,Lakeyah,https://i.scdn.co/image/ab67616d0000b273d0d59631f0c11267ab4c5249,https://open.spotify.com/album/3Oond2NSMqKhI5zseoD7Hu
Twerkulator,City Girls,https://i.scdn.co/image/ab67616d0000b2736de4e4aeed026242fae9e56a,https://open.spotify.com/album/0UMsQl5qJZAjhcj2985joB
